,kanji,kanji_with_hiragana,hiragana,meaning,property,example,example_meaning,step1,step2
968,約束,約束[やくそく],やくそく,"promise, vow",Verbal Noun,<b>約束</b>は守ります。,I keep my promises.,5,84
969,変わる,変[か]わる,かわる,change が,Verb,信号が青に<b>変わりました</b>。,The traffic light turned green.,3,78
970,めったに,めったに,めったに,rarely,Adverb,彼女は<b>めったに</b>怒りません。,She rarely gets angry.,7,61
971,大変,大変[たいへん],たいへん,"awful, serious",Adjectival Noun,<b>大変</b>なことが起こりました。,A terrible thing happened.,5,25
972,変,変[へん],へん,"strange, weird, funny",Adjectival Noun,<b>変</b>な音が聞こえます。,I hear a strange sound.,8,39
973,変化,変化[へんか],へんか,change,Verbal Noun,今年は<b>変化</b>の多い年でした。,There was a lot of change this year.,3,104
974,強化,強化[きょうか],きょうか,strengthening,Verbal Noun,国は国語教育を<b>強化</b>しています。,Our government is strengthening its program in native language education.,3,180
975,クリスマス,クリスマス,クリスマス,Christmas,Noun,<b>クリスマス</b>にはケーキを食べます。,We eat cake at Christmas.,7,70
976,文化,文化[ぶんか],ぶんか,culture,Noun,私はこの国の<b>文化</b>を勉強しています。,I'm studying this country's culture.,4,60
977,増える,増[ふ]える,ふえる,"increase, accrue が",Verb,この町は人口が<b>増えた</b>。,The population has increased in this town.,3,42
978,増やす,増[ふ]やす,ふやす,"increase (something), add を",Verb,あの町は緑を<b>増やしています</b>。,That town is increasing its greenery.,5,38
979,減る,減[へ]る,へる,"decrease, diminish が",Verb,体重がかなり<b>減りました</b>。,I've lost a lot of weight.,3,109
980,ネクタイ,ネクタイ,ネクタイ,"tie, necktie",Noun,父の日に<b>ネクタイ</b>をプレゼントした。,I gave him a tie on Father's Day.,7,71
981,減らす,減[へ]らす,へらす,"decrease (something), reduce を",Verb,最近、食事を<b>減らしています</b>。,I've been eating less recently.,5,82
982,乗り物,乗[の]り 物[もの],のりもの,"vehicle, means of transportation",Noun,自転車は便利な<b>乗り物</b>です。,Bicycles are a convenient form of transport.,8,53
983,降りる,降[お]りる,おりる,"get off, land",Verb,次の駅で<b>降ります</b>。,I get off at the next station.,5,198
984,降ろす,降[お]ろす,おろす,"unload, lower",Verb,彼は車から荷物を<b>降ろした</b>。,He unloaded the luggage from the car.,9,24
985,バイオリン,バイオリン,バイオリン,violin,Noun,彼女は<b>バイオリン</b>を習っています。,She's learning the violin.,7,77
986,降る,降[ふ]る,ふる,"fall, come down, rain",Verb,激しい雨が<b>降っています</b>。,A very heavy rain is falling.,10,149
987,着く,着[つ]く,つく,"arrive, touch, take one's place",Verb,午後8時に大阪に<b>着きます</b>。,I arrive in Osaka at 8:00 pm.,5,77
988,着物,着物[きもの],きもの,"kimono, clothes",Noun,彼女は<b>着物</b>がよく似合います。,She looks good in a kimono.,7,2
989,下着,下着[したぎ],したぎ,underwear,Noun,私は<b>下着</b>を手で洗う。,I wash my underwear by hand.,7,159
990,パスポート,パスポート,パスポート,passport,Noun,<b>パスポート</b>が見つからない。,I can't find my passport.,7,78
991,上着,上着[うわぎ],うわぎ,outerwear,Noun,暑いので<b>上着</b>を脱ぎました。,I took my jacket off because it was hot.,8,81
992,着せる,着[き]せる,きせる,"dress (sb), put clothes on (sb)",Verb,娘にかわいいドレスを<b>着せた</b>。,I dressed my daughter in a cute dress.,8,139
993,脱ぐ,脱[ぬ]ぐ,ぬぐ,"remove clothes, take off",Verb,靴を<b>脱いで</b>ください。,Please take off your shoes.,8,51
994,立場,立場[たちば],たちば,"standpoint, position",Noun,彼女は自分の<b>立場</b>を分かっていない。,She doesn't understand her position.,3,170
995,バッグ,バッグ,バッグ,bag,Noun,私は黒い<b>バッグ</b>を持っています。,I have a black bag.,7,79
996,目立つ,目立[めだ]つ,めだつ,"stand out, be conspicuous",Verb,彼女の大きな帽子はとても<b>目立つ</b>。,Her big hat really stands out.,3,185
997,立てる,立[た]てる,たてる,"stand (sth) up, set (sth) up, establish",Verb,彼はケーキにろうそくを<b>立てた</b>。,He stuck the candles into the cake.,5,58
998,役に立つ,役[やく]に 立[た]つ,やくにたつ,"be useful, be helpful",Verb,私は人々の<b>役に立ちたい</b>と思っています。,I want to be of service to others.,8,55
999,出席,出席[しゅっせき],しゅっせき,"attendance, presence",Verbal Noun,午後は会議に<b>出席</b>します。,I'll attend a meeting in the afternoon.,4,171
1000,ゴム,ゴム,ゴム,"rubber, elastic",Noun,<b>ゴム</b>が伸びてしまった。,The elastic has gone loose.,7,82
1001,席,席[せき],せき,"seat, one's place",Noun,この<b>席</b>、空いてますか。,Is this seat free?,5,89
1002,欠席,欠席[けっせき],けっせき,"absence, non-attendance",Verbal Noun,風邪のため、今日は<b>欠席</b>します。,I'll be absent today because of a cold.,7,18
1003,次男,次男[じなん],じなん,second son,Noun,<b>次男</b>は今、海外にいます。,My second son is abroad now.,7,99
1004,次女,次女[じじょ],じじょ,second daughter,Noun,うちの<b>次女</b>は春から中学生です。,Our second daughter is going into junior high this spring.,7,116
1005,ギター,ギター,ギター,guitar,Noun,彼女は<b>ギター</b>が得意です。,She's good at the guitar.,7,91
1006,運ぶ,運[はこ]ぶ,はこぶ,"carry, transport",Verb,いすを二階に<b>運んで</b>ください。,Please carry the chair to the second floor.,4,161
1007,運転,運転[うんてん],うんてん,drive,Verbal Noun,父は安全<b>運転</b>だ。,My father drives safely.,5,47
1008,運転手,運転手[うんてんしゅ],うんてんしゅ,driver,Noun,彼はタクシーの<b>運転手</b>です。,He's a taxi driver.,6,26
1009,転ぶ,転[ころ]ぶ,ころぶ,"tumble down, fall over",Verb,お祖母ちゃんがお風呂場で<b>転んだ</b>。,My grandma fell down in the bathroom.,8,155
1010,セーター,セーター,セーター,"sweater, pullover",Noun,この<b>セーター</b>はウールだ。,This sweater is made of wool.,7,100
1011,移る,移[うつ]る,うつる,"move, shift が",Verb,彼女は新しい会社に<b>移った</b>。,She moved to a new company.,4,200
1012,移す,移[うつ]す,うつす,"move (something), shift, transfer",Verb,机を窓のそばに<b>移しました</b>。,I moved the desk near the window.,5,72
1013,動き,動[うご]き,うごき,"movement, motion",Noun,まず相手の<b>動き</b>を見ましょう。,"First, watch your opponent's moves.",3,66
1014,運動,運動[うんどう],うんどう,"exercise, movement",Verbal Noun,彼はもっと<b>運動</b>した方がいい。,He should exercise more.,4,8
1015,やっぱり,やっぱり,やっぱり,"just as I thought, after all",Adverb,<b>やっぱり</b>旅が大好きだ。,I just love to travel.,7,106
1016,活動,活動[かつどう],かつどう,activity,Verbal Noun,彼は地域の<b>活動</b>に参加した。,He took part in local activities.,4,92
1017,動物,動物[どうぶつ],どうぶつ,animal,Noun,私は<b>動物</b>が大好きです。,I love animals.,4,193
1018,動かす,動[うご]かす,うごかす,"move (something), operate",Verb,部屋の家具を<b>動かしました</b>。,I moved the furniture in the room.,5,86
1019,不動産屋,不動産屋[ふどうさんや],ふどうさんや,"real estate agent, realtor",Noun,私の父は<b>不動産屋</b>です。,My father's a real estate agent.,10,198
1020,カーテン,カーテン,カーテン,curtain,Noun,朝、<b>カーテン</b>を開けた。,I opened the curtains in the morning.,7,111
1021,早く,早[はや]く,はやく,"early, soon",Adverb,なるべく<b>早く</b>来て下さい。,Please come as early as possible.,5,45
1022,早口,早口[はやくち],はやくち,fast talking,Noun,彼女は<b>早口</b>だ。,She talks quickly.,8,193
1023,速さ,速[はや]さ,はやさ,speed,Noun,新幹線の<b>速さ</b>はどれぐらいですか。,How fast is the bullet train?,7,22
1024,速達,速達[そくたつ],そくたつ,express mail,Noun,これを<b>速達</b>で送りたいのですが。,I want to send this by express mail.,9,132
1025,シャツ,シャツ,シャツ,shirt,Noun,この<b>シャツ</b>はアイロンが必要だ。,This shirt needs ironing.,7,113
1026,遅れる,遅[おく]れる,おくれる,be late,Verb,今朝彼女は学校に<b>遅れました</b>。,She was late for school this morning.,4,197
1027,開始,開始[かいし],かいし,beginning,Verbal Noun,運動会は9時<b>開始</b>です。,The athletic meet begins at nine o'clock.,3,113
1028,始めに,始[はじ]めに,はじめに,in the beginning,Adverb,<b>始めに</b>スープが出ます。,Soup is served first.,10,196
1029,現在,現在[げんざい],げんざい,"the present, present time",Noun,<b>現在</b>の気温は30度です。,The current temperature is 30 degrees.,3,7
1030,ナイフ,ナイフ,ナイフ,knife,Noun,<b>ナイフ</b>で手を切った。,I cut my hand with a knife.,7,114
1031,実現,実現[じつげん],じつげん,"realization, fulfillment",Verbal Noun,夢を<b>実現</b>するには努力が必要です。,You need to make an effort to make your dreams come true.,3,64
1032,実施,実施[じっし],じっし,"being in effect, implementation",Verbal Noun,現在、スペシャルキャンペーンを<b>実施</b>中です。,A special campaign is now under way.,3,112
1033,事実,事実[じじつ],じじつ,"fact, truth",Noun,それは全て<b>事実</b>ですか。,Is it all true?,3,153
1034,実行,実行[じっこう],じっこう,"(putting into) practice, execution",Verbal Noun,彼はその計画を<b>実行</b>した。,He executed the plan.,4,29
1035,バイク,バイク,バイク,motorcycle,Noun,兄は<b>バイク</b>が大好きです。,My older brother loves motorcycles.,7,118
1036,実験,実験[じっけん],じっけん,experiment,Verbal Noun,科学の授業で<b>実験</b>をした。,We did an experiment in science class.,4,120
1037,通過,通過[つうか],つうか,"passing, passage",Verbal Noun,次の駅は<b>通過</b>します。,This train will not stop at the next station.,4,104
1038,過ぎる,過[す]ぎる,すぎる,"pass by, exceed",Verb,時が<b>過ぎる</b>のは速い。,Time passes quickly.,5,18
1039,昼過ぎ,昼過[ひるす]ぎ,ひるすぎ,just past noon,Noun,彼は<b>昼過ぎ</b>に来ます。,He'll come after lunch.,10,142
1040,いつか,いつか,いつか,"some time, some day",Adverb,僕は<b>いつか</b>アフリカに行きたい。,I want to go to Africa some time.,7,120
1041,過去,過去[かこ],かこ,the past,Noun,それは<b>過去</b>の話だ。,That's in the past now.,4,56
1042,開発,開発[かいはつ],かいはつ,development,Verbal Noun,ダムの<b>開発</b>に住民は反対しています。,The residents are against the development of the dam.,3,2
1043,発生,発生[はっせい],はっせい,"occurrence, happening",Verbal Noun,交差点で事故が<b>発生</b>した。,There was an accident at the intersection.,3,191
1044,発言,発言[はつげん],はつげん,"statement, remark",Verbal Noun,会議で全員が<b>発言</b>した。,Everyone spoke at the conference.,4,86
1045,オレンジ,オレンジ,オレンジ,orange,Noun,私は<b>オレンジ</b>が好きです。,I like oranges.,7,121
1046,発見,発見[はっけん],はっけん,"discovery, revelation",Verbal Noun,新しい星が<b>発見</b>された。,A new star was discovered.,4,112
1047,出発,出発[しゅっぱつ],しゅっぱつ,"departure, starting",Verbal Noun,あと15分で<b>出発</b>です。,Departure will be in fifteen minutes.,5,85
1048,発車,発車[はっしゃ],はっしゃ,"depart, leave (for vehicles)",Verbal Noun,バスが<b>発車</b>します。,The bus is leaving.,8,112
1049,発表,発表[はっぴょう],はっぴょう,announcement,Verbal Noun,合格者が<b>発表</b>された。,Those who passed were announced.,3,12
1050,きつい,きつい,きつい,"tight, difficult",Adjective,このシャツは少し<b>きつい</b>です。,This shirt is a little tight.,7,123
1051,表現,表現[ひょうげん],ひょうげん,"expression (of views, feelings, etc.)",Verbal Noun,彼は歌で自分の気持ちを<b>表現</b>した。,He expressed his feelings in song.,3,94
1052,代表,代表[だいひょう],だいひょう,representative,Verbal Noun,彼がクラスの<b>代表</b>だ。,He's the class representative.,3,157
1053,表,表[おもて],おもて,"front side, face, outside",Noun,<b>表</b>に人が来ています。,Someone has come to the door.,10,30
1054,表,表[ひょう],ひょう,"list, table",Noun,この<b>表</b>を見てください。,Please look at this chart.,10,141
1055,さっき,さっき,さっき,"some time ago, only a moment ago",Adverb,<b>さっき</b>の話を続けましょう。,Let's continue the conversation we had earlier.,7,133
1056,手紙,手紙[てがみ],てがみ,letter,Noun,友人から<b>手紙</b>をもらいました。,I got a letter from a friend.,4,182
1057,絵,絵[え],え,"picture, painting, drawing",Noun,これは有名な画家の<b>絵</b>です。,This is a painting by a famous painter.,6,9
1058,雑誌,雑誌[ざっし],ざっし,"magazine, journal",Noun,この<b>雑誌</b>はよく売れています。,This magazine sells well.,5,41
1059,音,音[おと],おと,"sound, noise",Noun,雨の<b>音</b>が聞こえる。,I can hear the sound of rain.,4,108
1060,テキスト,テキスト,テキスト,"textbook, text file",Noun,<b>テキスト</b>を読んでください。,Please read the textbook.,7,135
1061,音,音[おと],おと,sound,Noun,このピアノは<b>音</b>があまり良くない。,That piano's sound isn't very good.,10,195
1062,音楽,音楽[おんがく],おんがく,music,Noun,私は<b>音楽</b>を聞くのが好きだ。,I like to listen to music.,5,10
1063,薬,薬[くすり],くすり,"drug, remedy, chemical",Noun,この<b>薬</b>を必ず飲んでください。,Please be sure to take this medicine.,6,21
1064,歌,歌[うた],うた,song,Noun,私はその<b>歌</b>を知らなかった。,I didn't know that song.,5,80
1065,ビニール袋,ビニール 袋[ぶくろ],ビニールぶくろ,plastic bag,Noun,ゴミはその<b>ビニール袋</b>に入れてください。,Please put trash in that plastic bag.,7,136
1066,歌手,歌手[かしゅ],かしゅ,singer,Noun,その<b>歌手</b>は歌が下手だ。,That singer's terrible.,10,33
1067,欲しがる,欲[ほ]しがる,ほしがる,want&nbsp;(describing sb else),Verb,子供がジュースを<b>欲しがっています</b>。,My kid wants some juice.,9,18
1068,計画,計画[けいかく],けいかく,"plan, project",Verbal Noun,彼は一人旅の<b>計画</b>を立てた。,He planned a journey alone.,3,40
1069,映画,映画[えいが],えいが,movie,Noun,彼はよく<b>映画</b>を見ます。,He often watches movies.,4,155
1070,りんご,りんご,りんご,apple,Noun,<b>りんご</b>を一つください。,Please give me one of the apples.,7,137
1071,面白い,面白[おもしろ]い,おもしろい,"interesting, amusing",Adjective,この本は全然<b>面白くなかった</b>。,This book wasn't interesting at all.,6,13
1072,写る,写[うつ]る,うつる,"<div>to appear in a photo, (picture) to come out well</div>",Verb,このカメラはよく<b>写ります</b>よ。,This camera takes good pictures.,7,103
1073,写す,写[うつ]す,うつす,"copy, photograph",Verb,彼は友達の答えを<b>写した</b>。,He copied down his friend's answers.,8,58
1074,写真,写真[しゃしん],しゃしん,photograph,Noun,<b>写真</b>は良い思い出になります。,Photographs make a good souvenir.,3,169
1075,アルバム,アルバム,アルバム,album,Noun,私は彼の<b>アルバム</b>を見た。,I saw his album.,7,138
1076,真っ赤,真[ま]っ 赤[か],まっか,deep red,Adjectival Noun,彼の顔は<b>真っ赤</b>でした。,His face was red.,6,200
1077,真面目,真面目[まじめ],まじめ,"serious, sober, earnest",Adjectival Noun,彼は<b>真面目</b>な人です。,He's a serious-minded person.,7,66
1078,真ん中,真[ま]ん 中[なか],まんなか,"center, middle",Noun,道の<b>真ん中</b>に人が立っている。,Someone is standing in the middle of the road.,7,169
1079,真っ白,真[ま]っ 白[しろ],まっしろ,pure-white,Adjectival Noun,外は雪で<b>真っ白</b>だった。,Everything outside was white with snow.,8,3
1080,スカート,スカート,スカート,skirt,Noun,彼女はあまり<b>スカート</b>ははかない。,She doesn't wear skirts very often.,7,143
1081,真っ暗,真[ま]っ 暗[くら],まっくら,pitch-dark,Adjectival Noun,外は<b>真っ暗</b>です。,It's pitch-dark outside.,8,98
1082,真っ黒,真[ま]っ 黒[くろ],まっくろ,"deep-black, jet-black",Adjectival Noun,インクで手が<b>真っ黒</b>になった,My hands got all black with ink.,8,150
1083,真っ青,真[ま]っ 青[さお],まっさお,"deep-blue, pale (skin)",Adjectival Noun,空が<b>真っ青</b>です。,The sky is bright blue.,9,107
1084,色々,色々[いろいろ],いろいろ,various,Adjectival Noun,彼は<b>色々</b>なことを知っている。,He knows about a lot of things.,9,23
1085,ペン,ペン,ペン,pen,Noun,<b>ペン</b>を貸してください。,Please lend me the pen.,7,145
1086,人形,人形[にんぎょう],にんぎょう,doll,Noun,彼女は<b>人形</b>をたくさん持っています。,She has a lot of dolls.,6,135
1087,形,形[かたち],かたち,"shape, form",Noun,その椅子は変わった<b>形</b>をしている。,That chair has an unusual shape.,10,36
1088,大型,大型[おおがた],おおがた,"large, large scale",Noun,<b>大型</b>のテレビを買った。,We bought a large television.,4,143
1089,種類,種類[しゅるい],しゅるい,"kind, variety, species",Noun,バラには色々な<b>種類</b>があります。,There are many varieties of rose.,3,179
1090,おしゃべり,おしゃべり,おしゃべり,"chatter, talkative",Verbal Noun,妹はとても<b>おしゃべり</b>です。,My little sister's very talkative.,7,151
1091,直す,直[なお]す,なおす,"repair, cure, alter",Verb,私がそれを<b>直しました</b>。,I mended it.,4,37
1092,真っ直ぐ,真[ま]っ 直[す]ぐ,まっすぐ,"dead straight, honestly",Adverb,この道を<b>真っ直ぐ</b>行ってください。,Please go straight along this road.,8,79
1093,直接,直接[ちょくせつ],ちょくせつ,directly,Adverb,彼に<b>直接</b>お願いしなさい。,Ask him directly.,4,58
1094,角,角[かど],かど,"corner, edge, angle",Noun,次の<b>角</b>で左に曲がってください。,Please turn left at the next corner.,8,197
1095,きっと,きっと,きっと,"surely, certainly",Adverb,明日は<b>きっと</b>雨が降ります。,I'm sure it'll rain tomorrow.,7,157
1096,三角,三角[さんかく],さんかく,triangle,Noun,紙を<b>三角</b>に切りました。,I cut the paper into a triangle.,8,199
1097,四角,四角[しかく],しかく,"square, quadrilateral",Adjectival Noun,紙を<b>四角</b>に切ってください。,Please cut the paper into a square.,9,27
1098,四角い,四角[しかく]い,しかくい,"square, four-sided",Adjective,こっちの<b>四角い</b>テーブルを買おうよ。,Let's buy this square table over here.,9,28
1099,四つ角,四[よ]つ 角[かど],よつかど,"street corner, intersection",Noun,あそこの<b>四つ角</b>を左に曲がってください。,Please turn left at that crossroad up there.,10,182
1100,メニュー,メニュー,メニュー,"menu, bill of fare",Noun,<b>メニュー</b>をください。,Please give me the menu.,7,175
1101,曲,曲[きょく],きょく,"song, melody, tune",Noun,私はこの<b>曲</b>が大好きです。,I love this song.,5,199
1102,曲げる,曲[ま]げる,まげる,"bend, curve",Verb,ひざを<b>曲げて</b>ください。,Please bend your knees.,7,155
1103,曲がり角,曲[ま]がり 角[かど],まがりかど,street corner,Noun,ポストはそこの<b>曲がり角</b>にあります。,There's a post box on that corner.,10,186
1104,同様,同様[どうよう],どうよう,"similar, same",Adjectival Noun,私たちは彼を家族<b>同様</b>に思っている。,We think of him just like family.,4,81
1105,アイスクリーム,アイスクリーム,アイスクリーム,ice cream,Noun,弟は<b>アイスクリーム</b>が大好きです。,My little brother loves ice cream.,7,176
1106,間違い,間違[まちが]い,まちがい,"mistake, error",Noun,この文には<b>間違い</b>があります。,There's a mistake in this sentence.,7,10
1107,間違える,間違[まちが]える,まちがえる,"make a mistake (in something), confuse (を)",Verb,電話番号を<b>間違えました</b>。,I called the wrong number.,7,174
1108,間違う,間違[まちが]う,まちがう,"be mistaken, be incorrect",Verb,あなたは<b>間違っている</b>。,You're mistaken.,8,44
1109,似ている,似[に]ている,にている,"look like, resemble",Verb,私は母に<b>似ています</b>。,I look like my mother.,10,194
1110,おしゃれ,おしゃれ,おしゃれ,"dressing up, trendy",Verbal Noun,あの子は<b>おしゃれ</b>だね。,That girl is trendy.,7,177
1111,以上,以上[いじょう],いじょう,"more than,&nbsp;not less than",Noun,飛行機が1時間<b>以上</b>遅れた。,The plane arrived over an hour late.,3,30
1112,旅行,旅行[りょこう],りょこう,"travel, trip",Verbal Noun,彼女は<b>旅行</b>が好きです。,She likes traveling.,5,9
1113,大使館,大使館[たいしかん],たいしかん,embassy,Noun,彼は<b>大使館</b>に勤めています。,He's working for the embassy.,5,96
1114,旅館,旅館[りょかん],りょかん,Japanese inn,Noun,京都では<b>旅館</b>に泊まりました。,I stayed at an inn in Kyoto.,6,153
1115,ジュース,ジュース,ジュース,"juice, soft drink",Noun,この<b>ジュース</b>は甘すぎる。,This juice is too sweet.,7,180
1116,映画館,映画館[えいがかん],えいがかん,movie theater,Noun,彼と近くの<b>映画館</b>に行きました。,I went to a nearby movie theater with him.,7,12
1117,宿題,宿題[しゅくだい],しゅくだい,homework,Noun,友達と一緒に<b>宿題</b>をした。,I did my homework with a friend.,7,134
1118,泊める,泊[と]める,とめる,"lodge, give shelter",Verb,友達をうちに<b>泊めてあげました</b>。,I put my friend up at my house.,10,32
1119,遊び,遊[あそ]び,あそび,"play, amusement",Noun,お正月には色々な<b>遊び</b>をします。,We play a lot of games at New Year's.,5,200
1120,ゼロ,ゼロ,ゼロ,zero,Noun,今日の交通事故は<b>ゼロ</b>です。,Today there were zero traffic accidents.,7,182
1121,洋服,洋服[ようふく],ようふく,clothes,Noun,今日は<b>洋服</b>を買いに行きます。,I'm going to buy some clothes today.,7,39
1122,教室,教室[きょうしつ],きょうしつ,"classroom, class",Noun,私の<b>教室</b>は3階にあります。,My classroom is on the third floor.,5,102
1123,図書室,図書室[としょしつ],としょしつ,library room,Noun,<b>図書室</b>で勉強した。,I studied at the library.,9,1
1124,窓,窓[まど],まど,"window, windowpane",Noun,<b>窓</b>を開けてください。,Please open the window.,5,30
1125,ピンク,ピンク,ピンク,pink,Noun,娘が<b>ピンク</b>のドレスを着ている。,My daughter's wearing a pink dress.,7,194
1126,親しい,親[した]しい,したしい,"intimate, close",Adjective,週末、<b>親しい</b>友達を家に呼んだ。,I invited a good friend to my house over the weekend.,6,70
1127,親切,親切[しんせつ],しんせつ,"kind, friendly",Adjectival Noun,<b>親切</b>にしてくださってどうもありがとうございます。,Thank you for being so kind to me.,6,186
1128,不親切,不親切[ふしんせつ],ふしんせつ,"unkind, inattentive",Adjectival Noun,その店員は<b>不親切</b>だった。,That store clerk was unkind.,9,185
1129,家族,家族[かぞく],かぞく,"family, household",Noun,うちは五人<b>家族</b>です。,We're a family of five.,3,120
1130,グラス,グラス,グラス,glass,Noun,これはきれいな<b>グラス</b>ですね。,This is a beautiful glass.,7,195
1131,万歳,万歳[ばんざい],ばんざい,Banzai! Hurrah! Long live...!,Verbal Noun,勝った、<b>万歳</b>!,We won--hurray!,9,81
1132,二十歳,二十歳[はたち],はたち,20 years old,Noun,妹は来年、<b>二十歳</b>になります。,My little sister will be 20 next year.,9,119
1133,姉さん,姉[ねえ]さん,ねえさん,"older sister, girl, miss",Noun,<b>姉さん</b>、ごめんね。,I'm sorry sis.,10,119
1134,兄さん,兄[にい]さん,にいさん,older brother,Noun,<b>兄さん</b>、おめでとう。,"Congratulations, big brother.",10,110
1135,ダンス,ダンス,ダンス,"dance, dancing",Verbal Noun,彼女は<b>ダンス</b>が大好きです。,She loves to dance.,7,198
1136,兄弟,兄弟[きょうだい],きょうだい,siblings,Noun,彼は3人<b>兄弟</b>です。,He has two siblings.,5,190
1137,業者,業者[ぎょうしゃ],ぎょうしゃ,business man,Noun,引っ越しを<b>業者</b>に頼んだ。,I asked a company to handle my move.,3,200
1138,若者,若者[わかもの],わかもの,"young person, youth",Noun,最近の<b>若者</b>は本を読まない。,Young people these days don't read books.,4,77
1139,彼ら,彼[かれ]ら,かれら,they,Noun,<b>彼ら</b>はバスケットの選手です。,They're basketball players.,4,124
1140,おじ,おじ,おじ,uncle,Noun,<b>おじ</b>は銀行に勤めています。,My uncle works for a bank.,8,4
1141,結合,結合[けつごう],けつごう,"combination, joining",Verbal Noun,ファイルを<b>結合</b>して1つにしました。,I consolidated the files into just one.,4,150
1142,結果,結果[けっか],けっか,"result, outcome",Noun,試合の<b>結果</b>を早く知りたい。,I want to know the results of the game soon.,3,161
1143,果物,果物[くだもの],くだもの,fruit,Noun,デザートに<b>果物</b>を食べましょう。,Let's have fruit for dessert.,7,9
1144,課題,課題[かだい],かだい,"task, problem",Noun,夏休みの<b>課題</b>は何ですか。,What's our summer assignment?,4,79
1145,サッカー,サッカー,サッカー,"soccer, football",Noun,彼は<b>サッカー</b>の選手です。,He's a soccer player.,8,7
1146,課,課[か],か,"section, division, lesson",Noun,今から<b>課</b>のミーティングがある。,Our division is going to have a meeting now.,6,48
1147,効果,効果[こうか],こうか,"effect, result",Noun,この薬には胃を守る<b>効果</b>がある。,This medicine is effective in protecting your stomach.,4,98
1148,自動車,自動車[じどうしゃ],じどうしゃ,automobile,Noun,彼は<b>自動車</b>会社に就職した。,He got a job at a car company.,4,75
1149,自然,自然[しぜん],しぜん,nature,Noun,みんなで<b>自然</b>を守りましょう。,Let's all work to protect Nature.,4,151
1150,スープ,スープ,スープ,"soup, broth",Noun,母がコーン<b>スープ</b>を作っている。,My mother made some corn chowder.,8,15
1151,自然,自然[しぜん],しぜん,"natural, naturally",Adjectival Noun,親が子供を守るのは<b>自然</b>なことだ。,It's natural that parents protect their children.,5,28
1152,自習,自習[じしゅう],じしゅう,"self-study, self-teaching",Verbal Noun,明日は<b>自習</b>の時間がある。,I have study time tomorrow.,9,114
1153,理由,理由[りゆう],りゆう,"reason, cause",Noun,遅れた<b>理由</b>を教えてください。,Please tell me why you were late.,3,127
1154,自由,自由[じゆう],じゆう,"freedom, free",Adjectival Noun,今日は<b>自由</b>な時間が多い。,I have a lot of free time today.,3,150
1155,バナナ,バナナ,バナナ,banana,Noun,私は毎朝<b>バナナ</b>を食べます。,I eat a banana every morning.,8,16
1156,信じる,信[しん]じる,しんじる,"believe, trust, have faith in",Verb,彼はキリストを<b>信じている</b>。,He believes in Christ.,5,116
1157,信号,信号[しんごう],しんごう,"signal, traffic light",Noun,<b>信号</b>が青になった。,The traffic light turned green.,6,8
1158,頼む,頼[たの]む,たのむ,"ask, request",Verb,私はハンバーガーを<b>頼みました</b>。,I ordered a hamburger.,5,132
1159,市民,市民[しみん],しみん,"citizens, townsmen",Noun,<b>市民</b>の安全は大切だ。,The citizens' safety is important.,4,25
1160,うるさい,うるさい,うるさい,"noisy, annoying, pesky",Adjective,この通りは車の音が<b>うるさい</b>。,Traffic is noisy on this street.,8,17
1161,住民,住民[じゅうみん],じゅうみん,"residents, inhabitants",Noun,地域の<b>住民</b>が集まって話合いをした。,The local residents got together and talked.,4,95
1162,主人,主人[しゅじん],しゅじん,"husband,&nbsp;the head of the house",Noun,<b>主人</b>は今、留守です。,My husband is out now.,9,96
1163,議員,議員[ぎいん],ぎいん,legislator,Noun,彼は国会<b>議員</b>です。,He's a congressman.,4,5
1164,会議,会議[かいぎ],かいぎ,"conference, meeting",Verbal Noun,今日の午後、大事な<b>会議</b>があります。,There's an important meeting this afternoon.,4,16
1165,パトカー,パトカー,パトカー,"police car, patrol car",Noun,あそこに<b>パトカー</b>がいる。,There's a police car over there.,8,19
1166,対する,対[たい]する,たいする,"in response to, face",Verb,その質問に<b>対する</b>答えが見つからなかった。,I couldn't find an answer to that question.,3,28
1167,対立,対立[たいりつ],たいりつ,"opposition, antagonism",Verbal Noun,その2社は<b>対立</b>しています。,The two companies are against each other.,3,126
1168,反対,反対[はんたい],はんたい,"oppose, the opposite",Verbal Noun,私は<b>反対</b>です。,I'm against it.,4,76
1169,答え,答[こた]え,こたえ,"answer, solution",Noun,彼はその問題の<b>答え</b>が分からない。,He doesn't know the answer to the problem.,10,53
1170,ハンバーガー,ハンバーガー,ハンバーガー,hamburger,Noun,今日の昼ご飯は<b>ハンバーガー</b>でした。,I had a hamburger for lunch today.,8,20
1171,特に,特[とく]に,とくに,"specially, particularly",Adverb,<b>特に</b>質問はありません。,I don't particularly have any questions.,4,119
1172,特急,特急[とっきゅう],とっきゅう,limited express (train),Noun,東京まで<b>特急</b>で3時間かかります。,It takes three hours to Tokyo by limited express.,9,13
1173,特別,特別[とくべつ],とくべつ,"special, extraordinary",Adjectival Noun,あなたは私にとって<b>特別</b>な人です。,You're special to me.,5,101
1174,別々,別々[べつべつ],べつべつ,separately,Adjectival Noun,<b>別々</b>に払いましょう。,Let's get separate checks.,6,196
1175,エスカレーター,エスカレーター,エスカレーター,escalator,Noun,3階まで<b>エスカレーター</b>で行きましょう。,Let's take the escalator up to the third floor.,8,22
